receiver,method,scope,budget,probability_variant,macro_f1,accuracy,balanced_accuracy,ece,adaptive_ece,nll,brier,mean_confidence,mean_correctness,confidence_accuracy_gap,entropy
1-1,T3A,primary,128,source_temperature,0.8157255272770942,0.8178938356164384,0.8178369052038905,0.0374793028635831,0.0357010278259003,0.5063400962402274,0.2521406275759227,0.8237622556842472,0.8178938356164384,0.0058684200678089,0.5027200527629511
1-19,DG_CORAL,primary,128,raw,0.7099462755845215,0.7132277397260275,0.7130001681284435,0.1869683955426085,0.1867521399632096,1.0142269978016258,0.4605909353975946,0.8999798796892371,0.7132277397260275,0.1867521399632096,0.269971879645301
1-19,DG_DANN,primary,128,raw,0.7263626069150696,0.7279965753424658,0.7277592230016625,0.1695860943540114,0.1687796335565309,0.915079633395558,0.4319779617784311,0.8967683515575242,0.7279965753424658,0.1687717762150585,0.2795773064228107
1-19,DG_GROUPDRO,primary,128,raw,0.6722330692885542,0.6712328767123288,0.6710204481181515,0.1726152371640687,0.1722373879042594,0.9409847442231544,0.4968628678824704,0.8434702646165881,0.6712328767123288,0.1722373879042594,0.4246097969346519
1-19,EMB_STD,primary,128,raw,0.7213242557714377,0.726027397260274,0.725614311395671,0.188232980986215,0.1879090621620927,1.0681851108126217,0.4453298661793705,0.9139364594223668,0.726027397260274,0.1879090621620927,0.2269319848526355
1-19,EMB_STD,primary,128,source_temperature,0.7213242557714377,0.726027397260274,0.725614311395671,0.1273058636328833,0.1258274619007625,0.7912231540692208,0.4034276580205606,0.8517893824625584,0.726027397260274,0.1257619852022845,0.4250554719840058
1-19,P0,primary,128,raw,0.708003103955942,0.7098886986301369,0.7095901146992356,0.1868514120884954,0.186683653182771,0.9981813534613696,0.4613295070935285,0.8965723518129082,0.7098886986301369,0.186683653182771,0.273937012446253
1-19,P0,primary,128,source_temperature,0.708003103955942,0.7098886986301369,0.7095901146992356,0.131556588418469,0.1309767143830265,0.7952869594017089,0.4239593401797671,0.8406719336606769,0.7098886986301369,0.1307832350305399,0.4479949101742719
1-19,P0_WIDE,primary,128,raw,0.7132496333287499,0.7171232876712329,0.7170572526709729,0.2135398299031418,0.2128423157537177,1.2210119225381884,0.4795190160021954,0.9299654283363068,0.7171232876712329,0.2128421406650737,0.1809208278822937
1-19,P1,primary,128,raw,0.716465637393212,0.7199486301369863,0.7197683142774322,0.2186805352300711,0.2186806480400264,1.324583173162667,0.4802654627216292,0.9386291653670576,0.7199486301369863,0.2186805352300712,0.1578137024396634
1-19,P2,primary,128,raw,0.7212748135908649,0.7235445205479453,0.7232800660691945,0.220341566233092,0.2202251002906936,1.4529441570043526,0.4841604759093006,0.9437696208386388,0.7235445205479453,0.2202251002906936,0.1472181740801
1-19,P2,primary,128,source_temperature,0.7212748135908649,0.7235445205479453,0.7232800660691945,0.1545990356166189,0.1537541894599298,0.879979106806509,0.4317471201336325,0.8772014549616951,0.7235445205479453,0.1536569344137499,0.3606543522645296
1-19,P2_MISMATCHED_RX,primary,128,raw,0.7032290226985177,0.7043664383561643,0.704230071288287,0.2354917850957749,0.2351700767415435,1.5609544925854812,0.5163079870305555,0.939536515097708,0.7043664383561643,0.2351700767415435,0.1567089461013569
1-19,P2_NULL,primary,128,raw,0.7113426886573234,0.7141267123287671,0.7137878894094635,0.2133897265961572,0.2129593041336342,1.3195503166888425,0.4847269125216111,0.9270857445978598,0.7141267123287671,0.2129590322690926,0.1933239903053301
1-19,P2_SHUFFLED,primary,128,raw,0.7001944142064904,0.7002140410958904,0.6999465584575862,0.2352267543377023,0.2349609592049191,1.5301785414761562,0.5208714672653969,0.9351750003008096,0.7002140410958904,0.2349609592049191,0.167585581192516
1-19,RX_NORM,primary,128,raw,0.7137261797392036,0.713570205479452,0.7133790037767447,0.1892772825090342,0.1880262722541922,0.9896889738878464,0.4587533073961141,0.9015844921887636,0.713570205479452,0.1880142867093114,0.2635143166969118
1-19,SAR_GN,primary,128,raw,0.7079809694227827,0.7098886986301369,0.7095897982594062,0.1869166126015455,0.1867393918922298,0.997645369958381,0.461058530672358,0.8966280905223668,0.7098886986301369,0.1867393918922298,0.2738119438001659
1-19,SAR_GN,primary,128,source_temperature,0.7079809694227827,0.7098886986301369,0.7095897982594062,0.1319059805231159,0.1310475404630698,0.794860883012901,0.4237191513559802,0.8407427351822097,0.7098886986301369,0.1308540365520726,0.4478393168031507
1-19,SOURCE_NORM,primary,128,raw,0.7148779863440303,0.7148544520547946,0.7146678752827265,0.1872109767687443,0.1868444637739903,0.9820946616122764,0.4562826327115612,0.9016868035781056,0.7148544520547946,0.1868323515233111,0.263159966932887
1-19,SUP_FT_FULL_128,primary,128,raw,0.9135148349637084,0.913484589041096,0.913581514550476,0.0243018585537904,0.0227994427225259,0.2673867528419593,0.1327632939877397,0.9346763360722322,0.913484589041096,0.0211917470311363,0.187698833937956
1-19,SUP_FT_HEAD_128,primary,128,raw,0.7362374311271292,0.7361301369863014,0.7360784700374997,0.1607141318233454,0.1602621041748621,0.8495762326454166,0.4137714878869697,0.896381836313091,0.7361301369863014,0.1602516993267896,0.2748901926043784
1-19,T3A,primary,128,raw,0.7377281689184472,0.7407534246575342,0.7403865257015761,0.0800020521921296,0.0802226882587403,0.5807297409180758,0.3226857883892946,0.7170555303594072,0.7407534246575342,-0.023697894298127,0.7691088411462188
1-19,T3A,primary,128,source_temperature,0.7377281689184472,0.7407534246575342,0.7403865257015761,0.0826782531866485,0.0820220529607721,0.5550824777268136,0.3330465241434946,0.8110246441854276,0.7407534246575342,0.0702712195278934,0.4887170087041411
1-20,DG_CORAL,primary,128,raw,0.8055633309305209,0.8212756849315068,0.8212715084433156,0.0730991030233108,0.0733678915148779,0.5578981464574989,0.263365679186014,0.8940576352415069,0.8212756849315068,0.0727819503100001,0.2970336127481978
1-20,DG_DANN,primary,128,raw,0.8177735726394003,0.8266695205479453,0.8265759417347412,0.0665437104550432,0.066692970742867,0.5239464263197613,0.2540821917944971,0.8908689835899803,0.8266695205479453,0.064199463042035,0.3090604468104466
1-20,DG_GROUPDRO,primary,128,raw,0.7413467142714033,0.7673801369863014,0.7673822547277414,0.0790815641236019,0.0787046998700969,0.6883993486404192,0.3364881063129828,0.8416110502798364,0.7673801369863014,0.0742309132935351,0.4494700932412607
1-20,EMB_STD,primary,128,raw,0.8568030210877389,0.8617294520547946,0.8616946715437358,0.0573245276939379,0.0579137709578626,0.4386396377525022,0.2053463767936957,0.918738053833479,0.8617294520547946,0.0570086017786844,0.2283860822325348
1-20,EMB_STD,primary,128,source_temperature,0.8568030210877389,0.8617294520547946,0.8616946715437358,0.030322155314524,0.030578511965946,0.3938231424972767,0.1938668025195014,0.8626682349182933,0.8617294520547946,0.0009387828634985,0.4184718045698735
1-20,P0,primary,128,raw,0.8032490118529697,0.8202482876712329,0.8202713410695809,0.0731485782650439,0.0741548472364777,0.5730894717505279,0.2631092859126618,0.8930710430001867,0.8202482876712329,0.0728227553289536,0.3002551795644352
1-20,P0,primary,128,source_temperature,0.8032490118529697,0.8202482876712329,0.8202713410695809,0.0389540935010644,0.0385342103095699,0.5114941550673857,0.2479156461470481,0.8302745596496889,0.8202482876712329,0.010026271978456,0.5091401052894111
1-20,P0_WIDE,primary,128,raw,0.8338199900815457,0.844734589041096,0.8447245700686363,0.0690317471677514,0.0692305088859715,0.4873031943799867,0.2283428294938957,0.9106513784662502,0.844734589041096,0.0659167894251542,0.2511725976928963
1-20,P1,primary,128,raw,0.8661881790394961,0.8727311643835616,0.8726875503239271,0.0583569698443967,0.0575288213993588,0.4130297965528448,0.1896751948227598,0.9300480081610484,0.8727311643835616,0.0573168437774867,0.1897257585779373
1-20,P2,primary,128,raw,0.8568134294574314,0.8634845890410958,0.863380120985143,0.0699139565242173,0.0700513482769976,0.4583394864434845,0.2061470222496218,0.9329831683127948,0.8634845890410958,0.069498579271699,0.1815319940704523
1-20,P2,primary,128,source_temperature,0.8568134294574314,0.8634845890410958,0.863380120985143,0.0326848622023436,0.0318839160143588,0.3751308060862922,0.1882962861168586,0.8620311699183109,0.8634845890410958,-0.0014534191227849,0.41348779990427
1-20,P2_MISMATCHED_RX,primary,128,raw,0.8114178753075499,0.8295376712328768,0.8293361246568012,0.0984788055952689,0.0985860818945994,0.640828403376329,0.2595542918510484,0.927951955210979,0.8295376712328768,0.0984142839781021,0.1932629589575371
