protocol,seed,method,bounds,receiver_count,role,source_nll_after,source_nll_before,target_labels_used,temperature
receiver_loso_22,829,EMB_STD,"[0.05, 20]",3,source_validation,0.44643162622073906,0.5207216255459707,False,1.6112407418945451
receiver_loso_22,829,SAR_GN,"[0.05, 20]",3,source_validation,0.5319637029935108,0.6260498908904292,False,1.655086683129714
receiver_loso_22,1829,P0,"[0.05, 20]",3,source_validation,0.4059687647871301,0.4916263048685752,False,1.720802727793594
receiver_loso_22,1829,P2,"[0.05, 20]",3,source_validation,0.4917727445997982,0.6358796939452379,False,1.9432818709282327
receiver_loso_22,1829,T3A,"[0.05, 20]",3,source_validation,0.3528334400536493,0.3863656116607106,False,0.7212291179661112
receiver_loso_22,1829,EMB_STD,"[0.05, 20]",3,source_validation,0.3746160132910814,0.47373126827206263,False,1.8090808017007172
receiver_loso_22,1829,SAR_GN,"[0.05, 20]",3,source_validation,0.4059687647871301,0.4916263048685752,False,1.720802727793594
receiver_loso_22,2829,P0,"[0.05, 20]",3,source_validation,0.43809196355911567,0.5172155793866138,False,1.653476524483412
receiver_loso_22,2829,P2,"[0.05, 20]",3,source_validation,0.4566926317546555,0.5785232335375889,False,1.861642020986298
receiver_loso_22,2829,T3A,"[0.05, 20]",3,source_validation,0.3815304363891918,0.4170781409229248,False,0.7238095893445348
receiver_loso_22,2829,EMB_STD,"[0.05, 20]",3,source_validation,0.3975371141539646,0.4816301159144909,False,1.7046050020384511
receiver_loso_22,2829,SAR_GN,"[0.05, 20]",3,source_validation,0.43809196355911567,0.5172155793866138,False,1.653476524483412
receiver_loso_22,3829,P0,"[0.05, 20]",3,source_validation,0.419603611257227,0.4772034326792341,False,1.5543080864543763
receiver_loso_22,3829,P2,"[0.05, 20]",3,source_validation,0.4251629548035492,0.6226013028947532,False,2.2765570454125896
receiver_loso_22,3829,T3A,"[0.05, 20]",3,source_validation,0.37684023555655194,0.45676760942801037,False,0.6070569997987819
receiver_loso_22,3829,EMB_STD,"[0.05, 20]",3,source_validation,0.4101432065313297,0.5004983016843828,False,1.7282445593108533
receiver_loso_22,3829,SAR_GN,"[0.05, 20]",3,source_validation,0.419603611257227,0.4772034326792341,False,1.5543080864543763
receiver_loso_22,4829,P0,"[0.05, 20]",3,source_validation,0.4573357539913352,0.48929828480421983,False,1.3741389317577473
receiver_loso_22,4829,P2,"[0.05, 20]",3,source_validation,0.4666024936506887,0.6129880026820945,False,1.9615949940819581
receiver_loso_22,4829,T3A,"[0.05, 20]",3,source_validation,0.398174571159647,0.4822880104970649,False,0.6019643347457486
receiver_loso_22,4829,EMB_STD,"[0.05, 20]",3,source_validation,0.4577703203341467,0.5125003206388185,False,1.5054573609037178
receiver_loso_22,4829,SAR_GN,"[0.05, 20]",3,source_validation,0.4572090011709691,0.48915126031351813,False,1.3740340066027994
receiver_loso_23,829,P0,"[0.05, 20]",3,source_validation,0.5717792877794442,0.6697193269010895,False,1.6674491963471725
receiver_loso_23,829,P2,"[0.05, 20]",3,source_validation,0.4886979738372246,0.6882574236193274,False,2.2299750064036004
receiver_loso_23,829,T3A,"[0.05, 20]",3,source_validation,0.49070844045516676,0.5425599978709565,False,0.6662782721477736
receiver_loso_23,829,EMB_STD,"[0.05, 20]",3,source_validation,0.5507476177990043,0.6706968624992525,False,1.791370365128409
receiver_loso_23,829,SAR_GN,"[0.05, 20]",3,source_validation,0.5719958522899713,0.6702452744227895,False,1.6684778874324768
receiver_loso_23,1829,P0,"[0.05, 20]",3,source_validation,0.5130280888863977,0.6152473667456132,False,1.7370832456481466
receiver_loso_23,1829,P2,"[0.05, 20]",3,source_validation,0.5458395581790504,0.7311652877807059,False,2.1479693866410834
receiver_loso_23,1829,T3A,"[0.05, 20]",3,source_validation,0.428023029780322,0.4782246588647609,False,0.6607757695240126
receiver_loso_23,1829,EMB_STD,"[0.05, 20]",3,source_validation,0.48897226706913094,0.6128574504710479,False,1.869417360464289
receiver_loso_23,1829,SAR_GN,"[0.05, 20]",3,source_validation,0.5130280888863977,0.6152473667456132,False,1.7370832456481466
receiver_loso_23,2829,P0,"[0.05, 20]",3,source_validation,0.4650133666988678,0.5165904727423768,False,1.5073086610626896
receiver_loso_23,2829,P2,"[0.05, 20]",3,source_validation,0.5662027004197737,0.8070933109052234,False,2.310666013629437
receiver_loso_23,2829,T3A,"[0.05, 20]",3,source_validation,0.4098494588388784,0.49281207459966464,False,0.5883370608399836
receiver_loso_23,2829,EMB_STD,"[0.05, 20]",3,source_validation,0.4617504185711385,0.526285748380227,False,1.5828272041704936
receiver_loso_23,2829,SAR_GN,"[0.05, 20]",3,source_validation,0.4650133666988678,0.5165904727423768,False,1.5073086610626896
receiver_loso_23,3829,P0,"[0.05, 20]",3,source_validation,0.6348399815315942,0.7280150744733352,False,1.6561313374754476
